,total_sales,date
d_1,1686,2011-01-29
d_2,1661,2011-01-30
d_3,1189,2011-01-31
d_4,1137,2011-02-01
d_5,954,2011-02-02
d_6,1598,2011-02-03
d_7,1107,2011-02-04
d_8,1680,2011-02-05
d_9,1660,2011-02-06
d_10,1263,2011-02-07
d_11,1042,2011-02-08
d_12,1011,2011-02-09
d_13,860,2011-02-10
d_14,1063,2011-02-11
d_15,1813,2011-02-12
d_16,1964,2011-02-13
d_17,1204,2011-02-14
d_18,1237,2011-02-15
d_19,1106,2011-02-16
d_20,1184,2011-02-17
d_21,1184,2011-02-18
d_22,1541,2011-02-19
d_23,1676,2011-02-20
d_24,1216,2011-02-21
d_25,1059,2011-02-22
d_26,958,2011-02-23
d_27,1013,2011-02-24
d_28,1036,2011-02-25
d_29,1404,2011-02-26
d_30,1622,2011-02-27
d_31,1110,2011-02-28
d_32,1147,2011-03-01
d_33,1033,2011-03-02
d_34,1056,2011-03-03
d_35,1207,2011-03-04
d_36,1591,2011-03-05
d_37,1686,2011-03-06
d_38,1368,2011-03-07
d_39,1081,2011-03-08
d_40,1070,2011-03-09
d_41,902,2011-03-10
d_42,1141,2011-03-11
d_43,1517,2011-03-12
d_44,1513,2011-03-13
d_45,1174,2011-03-14
d_46,1213,2011-03-15
d_47,1063,2011-03-16
d_48,1131,2011-03-17
d_49,1152,2011-03-18
d_50,1313,2011-03-19
d_51,1518,2011-03-20
d_52,1121,2011-03-21
d_53,1074,2011-03-22
d_54,1173,2011-03-23
d_55,966,2011-03-24
d_56,973,2011-03-25
d_57,1379,2011-03-26
d_58,1602,2011-03-27
d_59,1017,2011-03-28
d_60,885,2011-03-29
d_61,857,2011-03-30
d_62,976,2011-03-31
d_63,1222,2011-04-01
d_64,1495,2011-04-02
d_65,1603,2011-04-03
d_66,1091,2011-04-04
d_67,1060,2011-04-05
d_68,1066,2011-04-06
d_69,1143,2011-04-07
d_70,1210,2011-04-08
d_71,1526,2011-04-09
d_72,1413,2011-04-10
d_73,1252,2011-04-11
d_74,1208,2011-04-12
d_75,1197,2011-04-13
d_76,988,2011-04-14
d_77,1289,2011-04-15
d_78,1512,2011-04-16
d_79,1523,2011-04-17
d_80,1135,2011-04-18
d_81,993,2011-04-19
d_82,1029,2011-04-20
d_83,907,2011-04-21
d_84,1375,2011-04-22
d_85,1724,2011-04-23
d_86,1262,2011-04-24
d_87,947,2011-04-25
d_88,848,2011-04-26
d_89,775,2011-04-27
d_90,877,2011-04-28
d_91,907,2011-04-29
d_92,1150,2011-04-30
d_93,1387,2011-05-01
d_94,853,2011-05-02
d_95,1036,2011-05-03
d_96,807,2011-05-04
d_97,970,2011-05-05
d_98,1172,2011-05-06
d_99,1440,2011-05-07
d_100,1234,2011-05-08
d_101,1152,2011-05-09
d_102,988,2011-05-10
d_103,1102,2011-05-11
d_104,989,2011-05-12
d_105,1380,2011-05-13
d_106,1307,2011-05-14
d_107,1663,2011-05-15
d_108,1089,2011-05-16
d_109,951,2011-05-17
d_110,861,2011-05-18
d_111,858,2011-05-19
d_112,1020,2011-05-20
d_113,1404,2011-05-21
d_114,1440,2011-05-22
d_115,1035,2011-05-23
d_116,1085,2011-05-24
d_117,988,2011-05-25
d_118,1157,2011-05-26
d_119,1093,2011-05-27
d_120,1567,2011-05-28
d_121,1307,2011-05-29
d_122,1329,2011-05-30
d_123,1054,2011-05-31
d_124,1275,2011-06-01
d_125,1127,2011-06-02
d_126,1461,2011-06-03
d_127,1492,2011-06-04
d_128,1612,2011-06-05
d_129,1613,2011-06-06
d_130,1414,2011-06-07
d_131,1310,2011-06-08
d_132,1365,2011-06-09
d_133,1285,2011-06-10
d_134,1788,2011-06-11
d_135,1910,2011-06-12
d_136,1472,2011-06-13
d_137,1338,2011-06-14
d_138,1450,2011-06-15
d_139,1260,2011-06-16
d_140,1471,2011-06-17
d_141,1754,2011-06-18
d_142,1655,2011-06-19
d_143,1228,2011-06-20
d_144,1168,2011-06-21
d_145,1018,2011-06-22
d_146,1165,2011-06-23
d_147,1333,2011-06-24
d_148,1524,2011-06-25
d_149,1689,2011-06-26
d_150,1302,2011-06-27
d_151,1295,2011-06-28
d_152,1083,2011-06-29
d_153,1108,2011-06-30
d_154,1672,2011-07-01
d_155,1848,2011-07-02
d_156,1966,2011-07-03
d_157,1646,2011-07-04
d_158,1540,2011-07-05
d_159,1159,2011-07-06
d_160,1500,2011-07-07
d_161,1479,2011-07-08
d_162,1751,2011-07-09
d_163,1935,2011-07-10
d_164,1657,2011-07-11
d_165,1451,2011-07-12
d_166,1448,2011-07-13
d_167,1308,2011-07-14
d_168,1551,2011-07-15
d_169,1699,2011-07-16
d_170,1948,2011-07-17
d_171,1494,2011-07-18
d_172,1052,2011-07-19
d_173,1170,2011-07-20
d_174,1307,2011-07-21
d_175,1332,2011-07-22
d_176,1619,2011-07-23
d_177,1820,2011-07-24
d_178,1420,2011-07-25
d_179,1215,2011-07-26
d_180,1233,2011-07-27
d_181,1245,2011-07-28
d_182,1211,2011-07-29
d_183,1593,2011-07-30
d_184,1892,2011-07-31
d_185,1605,2011-08-01
d_186,1413,2011-08-02
d_187,1544,2011-08-03
d_188,1516,2011-08-04
d_189,1577,2011-08-05
d_190,1916,2011-08-06
d_191,2148,2011-08-07
d_192,1502,2011-08-08
d_193,1415,2011-08-09
d_194,1242,2011-08-10
d_195,1416,2011-08-11
d_196,1671,2011-08-12
d_197,2221,2011-08-13
d_198,2331,2011-08-14
d_199,1926,2011-08-15
d_200,1486,2011-08-16
d_201,1403,2011-08-17
d_202,1508,2011-08-18
d_203,1758,2011-08-19
d_204,2147,2011-08-20
d_205,2533,2011-08-21
d_206,1654,2011-08-22
d_207,1482,2011-08-23
d_208,1188,2011-08-24
d_209,1064,2011-08-25
d_210,1331,2011-08-26
d_211,1734,2011-08-27
d_212,2184,2011-08-28
d_213,1419,2011-08-29
d_214,1175,2011-08-30
d_215,1120,2011-08-31
d_216,1458,2011-09-01
d_217,1525,2011-09-02
d_218,1996,2011-09-03
d_219,1681,2011-09-04
d_220,1779,2011-09-05
d_221,1519,2011-09-06
d_222,1658,2011-09-07
d_223,1214,2011-09-08
d_224,1420,2011-09-09
d_225,1746,2011-09-10
d_226,2170,2011-09-11
d_227,1667,2011-09-12
d_228,1517,2011-09-13
d_229,1395,2011-09-14
d_230,1559,2011-09-15
d_231,1545,2011-09-16
d_232,1879,2011-09-17
d_233,1925,2011-09-18
d_234,1460,2011-09-19
d_235,1189,2011-09-20
d_236,1124,2011-09-21
d_237,1112,2011-09-22
d_238,1584,2011-09-23
d_239,1880,2011-09-24
d_240,2237,2011-09-25
d_241,1432,2011-09-26
d_242,1305,2011-09-27
d_243,1193,2011-09-28
d_244,1230,2011-09-29
d_245,1601,2011-09-30
d_246,2046,2011-10-01
d_247,1956,2011-10-02
d_248,1629,2011-10-03
d_249,1445,2011-10-04
d_250,1414,2011-10-05
d_251,1504,2011-10-06
d_252,1692,2011-10-07
d_253,1581,2011-10-08
d_254,1970,2011-10-09
d_255,1874,2011-10-10
d_256,1625,2011-10-11
d_257,1778,2011-10-12
d_258,1637,2011-10-13
d_259,1496,2011-10-14
d_260,1971,2011-10-15
d_261,2113,2011-10-16
d_262,1744,2011-10-17
d_263,1360,2011-10-18
d_264,1205,2011-10-19
d_265,1230,2011-10-20
d_266,1392,2011-10-21
d_267,1607,2011-10-22
d_268,1933,2011-10-23
d_269,1413,2011-10-24
d_270,1264,2011-10-25
d_271,1123,2011-10-26
d_272,1086,2011-10-27
d_273,1208,2011-10-28
d_274,1565,2011-10-29
d_275,1777,2011-10-30
d_276,1174,2011-10-31
d_277,1538,2011-11-01
d_278,1260,2011-11-02
d_279,1441,2011-11-03
d_280,1322,2011-11-04
d_281,1739,2011-11-05
d_282,2047,2011-11-06
d_283,1580,2011-11-07
d_284,1163,2011-11-08
d_285,1496,2011-11-09
d_286,1237,2011-11-10
d_287,1471,2011-11-11
d_288,1768,2011-11-12
d_289,2154,2011-11-13
d_290,1558,2011-11-14
d_291,1550,2011-11-15
d_292,1359,2011-11-16
d_293,1045,2011-11-17
d_294,1316,2011-11-18
d_295,1611,2011-11-19
d_296,1916,2011-11-20
d_297,1483,2011-11-21
d_298,1383,2011-11-22
d_299,2161,2011-11-23
d_300,1360,2011-11-24
d_301,1210,2011-11-25
d_302,1164,2011-11-26
d_303,1339,2011-11-27
d_304,1036,2011-11-28
d_305,1098,2011-11-29
d_306,993,2011-11-30
d_307,1394,2011-12-01
d_308,1335,2011-12-02
d_309,1753,2011-12-03
d_310,1736,2011-12-04
d_311,1451,2011-12-05
d_312,1331,2011-12-06
d_313,1209,2011-12-07
d_314,1065,2011-12-08
d_315,1312,2011-12-09
d_316,1569,2011-12-10
d_317,1899,2011-12-11
d_318,1588,2011-12-12
d_319,1453,2011-12-13
d_320,1525,2011-12-14
d_321,1685,2011-12-15
d_322,1383,2011-12-16
d_323,1528,2011-12-17
d_324,1657,2011-12-18
d_325,1424,2011-12-19
d_326,1251,2011-12-20
d_327,1390,2011-12-21
d_328,1454,2011-12-22
d_329,1786,2011-12-23
d_330,2109,2011-12-24
d_331,2,2011-12-25
d_332,1468,2011-12-26
d_333,1161,2011-12-27
d_334,1147,2011-12-28
d_335,1123,2011-12-29
d_336,1598,2011-12-30
d_337,2121,2011-12-31
d_338,1153,2012-01-01
d_339,1435,2012-01-02
d_340,1320,2012-01-03
d_341,1364,2012-01-04
d_342,1456,2012-01-05
d_343,1446,2012-01-06
d_344,1827,2012-01-07
d_345,1746,2012-01-08
d_346,1214,2012-01-09
d_347,1132,2012-01-10
d_348,1424,2012-01-11
d_349,1402,2012-01-12
d_350,1389,2012-01-13
d_351,1645,2012-01-14
d_352,2065,2012-01-15
d_353,1382,2012-01-16
d_354,1163,2012-01-17
d_355,1263,2012-01-18
d_356,1107,2012-01-19
d_357,1383,2012-01-20
d_358,1568,2012-01-21
d_359,1642,2012-01-22
d_360,1174,2012-01-23
d_361,1035,2012-01-24
d_362,892,2012-01-25
d_363,1052,2012-01-26
d_364,1187,2012-01-27
d_365,1519,2012-01-28
d_366,1639,2012-01-29
d_367,1111,2012-01-30
d_368,1180,2012-01-31
d_369,1429,2012-02-01
d_370,1246,2012-02-02
d_371,1547,2012-02-03
d_372,1986,2012-02-04
d_373,2221,2012-02-05
d_374,1544,2012-02-06
d_375,1356,2012-02-07
d_376,1246,2012-02-08
d_377,1308,2012-02-09
d_378,1312,2012-02-10
d_379,1735,2012-02-11
d_380,2037,2012-02-12
d_381,1665,2012-02-13
d_382,1295,2012-02-14
d_383,1255,2012-02-15
d_384,1293,2012-02-16
d_385,1224,2012-02-17
d_386,1608,2012-02-18
d_387,1755,2012-02-19
d_388,1399,2012-02-20
d_389,1116,2012-02-21
d_390,1014,2012-02-22
d_391,993,2012-02-23
d_392,1095,2012-02-24
d_393,1465,2012-02-25
d_394,1905,2012-02-26
d_395,1431,2012-02-27
d_396,1187,2012-02-28
d_397,1130,2012-02-29
d_398,1484,2012-03-01
d_399,1571,2012-03-02
d_400,1794,2012-03-03
d_401,1845,2012-03-04
d_402,1630,2012-03-05
d_403,1721,2012-03-06
d_404,1505,2012-03-07
d_405,1284,2012-03-08
d_406,1212,2012-03-09
d_407,1789,2012-03-10
d_408,1965,2012-03-11
d_409,1736,2012-03-12
d_410,1711,2012-03-13
d_411,1536,2012-03-14
d_412,1634,2012-03-15
d_413,1599,2012-03-16
d_414,1887,2012-03-17
d_415,1917,2012-03-18
d_416,1701,2012-03-19
d_417,1132,2012-03-20
d_418,1291,2012-03-21
d_419,1357,2012-03-22
d_420,1462,2012-03-23
d_421,2002,2012-03-24
d_422,2116,2012-03-25
d_423,1464,2012-03-26
d_424,1423,2012-03-27
d_425,1219,2012-03-28
d_426,1234,2012-03-29
d_427,1526,2012-03-30
d_428,1751,2012-03-31
d_429,2185,2012-04-01
d_430,1392,2012-04-02
d_431,1757,2012-04-03
d_432,1451,2012-04-04
d_433,1788,2012-04-05
d_434,1925,2012-04-06
d_435,2649,2012-04-07
d_436,2042,2012-04-08
d_437,1609,2012-04-09
d_438,1390,2012-04-10
d_439,1561,2012-04-11
d_440,1599,2012-04-12
d_441,1640,2012-04-13
d_442,1887,2012-04-14
d_443,2248,2012-04-15
d_444,1281,2012-04-16
d_445,1378,2012-04-17
d_446,1156,2012-04-18
d_447,1239,2012-04-19
d_448,1249,2012-04-20
d_449,1613,2012-04-21
d_450,1966,2012-04-22
d_451,1574,2012-04-23
d_452,1182,2012-04-24
d_453,1314,2012-04-25
d_454,1301,2012-04-26
d_455,1356,2012-04-27
d_456,1515,2012-04-28
d_457,1729,2012-04-29
d_458,1353,2012-04-30
d_459,1566,2012-05-01
d_460,1471,2012-05-02
d_461,1458,2012-05-03
d_462,1601,2012-05-04
d_463,2113,2012-05-05
d_464,2107,2012-05-06
d_465,2030,2012-05-07
d_466,1457,2012-05-08
d_467,1594,2012-05-09
d_468,1366,2012-05-10
d_469,1545,2012-05-11
d_470,2191,2012-05-12
d_471,2013,2012-05-13
d_472,1651,2012-05-14
d_473,1665,2012-05-15
d_474,1606,2012-05-16
d_475,1620,2012-05-17
d_476,1834,2012-05-18
d_477,1973,2012-05-19
d_478,2210,2012-05-20
d_479,1594,2012-05-21
d_480,1853,2012-05-22
d_481,1544,2012-05-23
d_482,1586,2012-05-24
d_483,1889,2012-05-25
d_484,2115,2012-05-26
d_485,1944,2012-05-27
d_486,1908,2012-05-28
d_487,1744,2012-05-29
d_488,1549,2012-05-30
d_489,1351,2012-05-31
d_490,1919,2012-06-01
d_491,1988,2012-06-02
d_492,2432,2012-06-03
d_493,1764,2012-06-04
d_494,1733,2012-06-05
d_495,1709,2012-06-06
d_496,1763,2012-06-07
d_497,1581,2012-06-08
d_498,2279,2012-06-09
d_499,2541,2012-06-10
d_500,1999,2012-06-11
d_501,1468,2012-06-12
d_502,1782,2012-06-13
d_503,1775,2012-06-14
d_504,2116,2012-06-15
d_505,2284,2012-06-16
d_506,2297,2012-06-17
d_507,1671,2012-06-18
d_508,1300,2012-06-19
d_509,1402,2012-06-20
d_510,1452,2012-06-21
d_511,1792,2012-06-22
