"","product","d_1914","d_1915","d_1916","d_1917","d_1918","d_1919","d_1920","d_1921","d_1922","d_1923","d_1924","d_1925","d_1926","d_1927","d_1928","d_1929","d_1930","d_1931","d_1932","d_1933","d_1934","d_1935","d_1936","d_1937","d_1938","d_1939","d_1940","d_1941"
"1","FOODS_3_001_TX_3_validation",0,2,0,0,5,2,0,0,2,0,0,5,2,0,0,2,0,0,5,2,0,0,2,0,0,5,2,0
"2","FOODS_3_002_TX_3_validation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","FOODS_3_003_TX_3_validation",0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"4","FOODS_3_004_TX_3_validation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","FOODS_3_005_TX_3_validation",1,1,0,1,0,4,0,1,1,0,1,0,4,0,1,1,0,1,0,4,0,1,1,0,1,0,4,0
"6","FOODS_3_006_TX_3_validation",1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0
"7","FOODS_3_007_TX_3_validation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","FOODS_3_008_TX_3_validation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","FOODS_3_009_TX_3_validation",1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
"10","FOODS_3_010_TX_3_validation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","FOODS_3_011_TX_3_validation",0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"12","FOODS_3_012_TX_3_validation",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"13","FOODS_3_013_TX_3_validation",0,1,1,2,3,0,0,0,1,1,2,3,0,0,0,1,1,2,3,0,0,0,1,1,2,3,0,0
"14","FOODS_3_014_TX_3_validation",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"15","FOODS_3_015_TX_3_validation",3,1,0,4,1,3,1,3,1,0,4,1,3,1,3,1,0,4,1,3,1,3,1,0,4,1,3,1
